airport_code,latitude,longitude,altitude,timezone,dst,olson_timezone
PSG,56.801667,-132.945278,105,-9.0,A,America/Anchorage
LYA,34.41,112.28,210,8.0,U,Asia/Chongqing
XUZ,34.16,117.11,140,8.0,U,Asia/Chongqing
IFN,32.750836,51.861267,5059,3.5,E,Asia/Tehran
MWQ,20.165453,94.941185,275,6.5,U,Asia/Rangoon
KHM,25.988333,95.674444,6000,6.5,U,Asia/Rangoon
DLI,11.75,108.367,3156,7.0,U,Asia/Saigon
VDH,17.515,106.590556,50,7.0,U,Asia/Saigon
VKG,9.949676,105.133659,7,7.0,U,Asia/Saigon
CAH,9.188049,105.174721,50,7.0,U,Asia/Saigon
VCL,15.405944,108.705889,10,7.0,U,Asia/Saigon
TBB,13.04955,109.333706,20,7.0,U,Asia/Saigon
PYY,19.372,98.437,1271,7.0,U,Asia/Bangkok
BWK,43.285719,16.679719,1776,1.0,E,Europe/Zagreb
NSI,3.722556,11.553269,2278,1.0,N,Africa/Douala
CKY,9.576889,-13.611961,72,0.0,N,Africa/Conakry
,46.992094,8.390315,1800,1.0,E,Europe/Zurich
,47.36029,8.47805,1800,1.0,E,Europe/Zurich
AAH,50.823194,6.186389,570,1.0,E,Europe/Berlin
FKB,48.7793,8.08048,407,1.0,E,Europe/Berlin
SFB,28.777639,-81.237489,55,-5.0,A,America/New_York
PQC,10.227025,103.967169,23,7.0,U,Asia/Saigon
JST,40.316111,-78.833889,2284,-5.0,A,America/New_York
LUA,27.687778,86.731389,9100,5.75,N,Asia/Katmandu
BHP,27.14743,87.050819,4000,5.75,N,Asia/Katmandu
LDN,27.253117,86.670044,4100,5.75,N,Asia/Katmandu
JMO,28.782222,83.7225,8800,5.75,N,Asia/Katmandu
NGX,28.633,84.0,11000,5.75,N,Asia/Katmandu
PPL,27.517,86.6,7918,5.75,N,Asia/Katmandu
TMK,27.052222,86.861944,6000,5.75,N,Asia/Katmandu
RUM,27.303509,86.55043,4500,5.75,N,Asia/Katmandu
DNP,28.111111,82.294167,2100,5.75,N,Asia/Katmandu
RUK,28.627,82.195,2500,5.75,N,Asia/Katmandu
JUM,29.274167,82.193333,7700,5.75,N,Asia/Katmandu
HRJ,28.0,83.833,4000,5.75,N,Asia/Katmandu
TPJ,27.35,84.667,4000,5.75,N,Asia/Katmandu
TMI,27.315,87.193333,1700,5.75,N,Asia/Katmandu
SKH,28.586,81.636,2400,5.75,N,Asia/Katmandu
IMK,29.971064,81.818932,9246,5.75,N,Asia/Katmandu
DOP,28.985718,82.819145,8200,5.75,N,Asia/Katmandu
BJH,29.53896,81.185364,4100,5.75,N,Asia/Katmandu
DHI,28.753333,80.581944,690,5.75,N,Asia/Katmandu
MWX,34.991389,126.382778,51,9.0,U,Asia/Seoul
JTY,36.579886,26.375822,165,2.0,E,Europe/Athens
JIK,37.682717,26.347061,79,2.0,E,Europe/Athens
JKL,36.963333,26.940556,771,2.0,E,Europe/Athens
MLO,36.696111,24.4775,12,2.0,E,Europe/Athens
JNX,37.080556,25.368056,10,2.0,E,Europe/Athens
PAS,37.010278,25.127778,121,2.0,E,Europe/Athens
KZS,36.127777,29.566656,474,2.0,E,Europe/Athens
RMF,25.557111,34.583711,251,2.0,U,Africa/Cairo
NRN,51.602222,6.141944,106,1.0,E,Europe/Berlin
USU,12.121458,120.100031,148,8.0,N,Asia/Manila
BXU,8.951322,125.477972,141,8.0,N,Asia/Manila
DPL,8.601261,123.334481,12,8.0,N,Asia/Manila
LAO,18.178092,120.531522,25,8.0,N,Asia/Manila
LGP,13.157064,123.746247,66,8.0,N,Asia/Manila
OZC,8.178508,123.841731,75,8.0,N,Asia/Manila
ZQW,49.209445,7.401323,1132,1.0,E,Europe/Berlin
CEB,10.307542,123.979439,31,8.0,N,Asia/Manila
NOE,53.632221,7.191389,3,1.0,E,Europe/Berlin
JUI,53.681572,7.055731,6,1.0,E,Europe/Berlin
BPS,-16.438611,-39.080833,167,-3.0,S,America/Fortaleza
GDA,9.272222,21.197222,1509,1.0,N,Africa/Bangui
,-25.684,-54.44024,1000,-3.0,S,America/Cordoba
,-6.346639,-39.293777,699,-3.0,S,America/Fortaleza
PMW,-10.241667,-48.35278,774,-3.0,S,America/Fortaleza
CLV,-17.7267,-48.6114,2247,-3.0,S,America/Sao_Paulo
MSO,46.916306,-114.090556,3205,-7.0,A,America/Denver
BKQ,-24.427778,145.428611,928,10.0,O,Australia/Brisbane
BDB,-24.903889,152.318611,107,10.0,O,Australia/Brisbane
GCN,35.9523611,-112.1469722,6609,-7.0,N,America/Phoenix
SGR,29.62225,-95.6565278,82,-6.0,A,America/Chicago
HIS,-20.066668,148.86667,10,10.0,O,Australia/Brisbane
APA,39.570129,-104.849294,5883,-7.0,A,America/Denver
CVN,34.425139,-103.079278,4216,-7.0,A,America/Denver
FST,30.915667,-102.916139,3011,-6.0,A,America/Chicago
LVS,35.654222,-105.142389,6877,-7.0,A,America/Denver
IWS,29.818194,-95.672611,111,-6.0,A,America/Chicago
LHX,38.049719,-103.509431,4238,-7.0,A,America/Denver
LRU,32.289417,-106.921972,4456,-7.0,A,America/Denver
BKD,32.719047,-98.891,1284,-6.0,A,America/Chicago
TPL,31.1525,-97.407778,682,-6.0,A,America/Chicago
OZA,30.735281,-101.202972,2381,-6.0,A,America/Chicago
,22.315365,114.195349,1,8.0,U,Asia/Hong_Kong
HEW,37.8933,23.7261,69,2.0,E,Europe/Athens
WKL,19.9136,-155.864,109,-10.0,N,Pacific/Honolulu
KDM,0.4880555,72.995556,3,5.0,U,Indian/Maldives
LAK,68.223333,-135.005833,23,-7.0,A,America/Edmonton
YWJ,65.1833333,-125.41666667,550,-7.0,A,America/Edmonton
ZFN,64.0833333,-125.5833333,320,-7.0,A,America/Edmonton
YGH,66.26666667,-128.65,215,-7.0,A,America/Edmonton
,66.3676,-133.7594,200,-7.0,A,America/Edmonton
,68.3676,-133.7594,200,-7.0,A,America/Edmonton
TAH,-19.455198,169.22394,3,11.0,U,Pacific/Efate
,3.48596289680953,72.8060746192932,0,5.0,N,Indian/Maldives
YPC,62.35,-124.3333,50,-7.0,A,America/Edmonton
,69.917,-128.95,1,-7.0,A,America/Edmonton
SRZ,-17.8,-63.166667,1224,-4.0,U,America/La_Paz
KUS,65.566667,-37.1166667,112,-3.0,E,America/Godthab
SAB,17.645278,-63.220556,60,-4.0,U,America/Curacao
EGE,39.642556,-106.917694,6540,-7.0,A,America/Denver
,39.779255,-104.88184,5333,-7.0,A,America/Denver
SKN,68.580833,15.026111,11,1.0,E,Europe/Oslo
CGF,41.565124,-81.4863555,879,-5.0,A,America/New_York
MFD,40.8214167,-82.5166389,1297,-5.0,A,America/New_York
CSG,32.5163333,-84.9388611,397,-5.0,A,America/New_York
LAW,34.5677144,-98.4166367,1110,-6.0,A,America/Chicago
FNL,40.451828,-105.011336,5016,-7.0,A,America/Denver
,39.648682,19.855771,0,2.0,E,Europe/Athens
,39.202676,20.187968,0,2.0,E,Europe/Athens
FLG,35.140318,-111.6692392,7015,-7.0,N,America/Phoenix
TVL,38.893889,-119.995278,8544,-8.0,A,America/Los_Angeles
TWF,42.481803,-114.487733,4151,-7.0,A,America/Denver
MCM,43.73333333,7.41666666,0,1.0,E,Europe/Monaco
MVY,41.391667,-70.615278,67,-5.0,A,America/New_York
UUU,41.533056,-71.282222,172,-5.0,A,America/New_York
VSF,43.343333,-72.517222,577,-5.0,A,America/New_York
CON,43.20267,-71.50233,342,-5.0,A,America/New_York
SFM,43.39383,-70.708,244,-5.0,A,America/New_York
GON,41.330056,-72.045139,9,-5.0,A,America/New_York
STC,45.546556,-94.059889,1031,-6.0,A,America/Chicago
BPE,21.17383327,94.9246666,0,6.5,U,Asia/Rangoon
GTR,33.450333,-88.591361,264,-6.0,A,America/Chicago
GOJ,56.230119,43.784042,256,4.0,N,Europe/Moscow
HQM,46.9711944,-123.9365556,18,-8.0,A,America/Los_Angeles
ERI,42.082022,-80.176217,733,-5.0,A,America/New_York
,3.5833,72.7167,0,5.0,U,Indian/Maldives
HYA,41.669336,-70.280356,55,-5.0,A,America/New_York
SPR,17.913936,-87.971075,4,-6.0,U,America/Belize
SDX,34.848628,-111.788472,4830,-7.0,A,America/Phoenix
,24.62,-82.87,5,-5.0,A,America/New_York
,24.62,24.62,5,2.0,A,Africa/Tripoli
,24.628,82.873,5,5.5,A,Asia/Calcutta
MGW,39.642908,-79.916314,1248,-5.0,A,America/New_York
CRW,38.373147,-81.593189,981,-5.0,A,America/New_York
AVP,41.338478,-75.723403,962,-5.0,A,America/New_York
BJI,47.510722,-94.934722,1391,-6.0,A,America/Chicago
BAK,40.4675,50.046667,10,4.0,E,Asia/Baku
THG,-24.493889,150.576111,644,10.0,O,Australia/Brisbane
FGI,-13.84861111,-171.74083333,25,13.0,U,Pacific/Apia
BNK,-28.833889,153.5625,7,10.0,O,Australia/Sydney
FAR,46.92065,-96.8157639,902,-6.0,A,America/Chicago
MKC,39.1275,-94.598889,759,-6.0,A,America/Chicago
AZA,33.307833,-111.655,1382,-7.0,N,America/Phoenix
RBE,13.73,106.987,0,7.0,U,Asia/Phnom_Penh
GCC,44.3489167,-105.5393611,4365,-7.0,A,America/Denver
TOF,56.380278,85.208333,597,7.0,N,Asia/Omsk
NZJ,33.676132,-117.731164,383,-8.0,A,America/Los_Angeles
PHY,16.676028,101.195108,450,7.0,U,Asia/Bangkok
CJM,10.7112,99.361706,18,7.0,U,Asia/Bangkok
JZH,32.857,103.683,11311,8.0,U,Asia/Chongqing
SWA,23.4,116.683,0,8.0,U,Asia/Chongqing
,0.0,0.0,302,0.0,E,\N
GEO,6.498553,-58.254119,95,-4.0,U,America/Guyana
AGT,-25.4555,-54.843592,846,-4.0,S,America/Asuncion
OGL,6.806944,-58.104444,10,-4.0,U,America/Guyana
KAI,5.167,-59.483,750,-4.0,U,America/Guyana
DNH,40.094,94.4818,3688,8.0,U,Asia/Chongqing
